"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"73","S23","STU","F",20,343.31,396.97,561.8,773.44,583.51,476.38,295.63,384.92,435.54,654.58,379.25,464.66,0,0,0,0,0,0,0,0,0,0.33,0.17,0
"74","S24","STU","F",19,313.39,489.58,462.86,563.01,389.5,314.17,378.6,376.75,509.74,684.09,449.65,330.56,0,0,0,0.17,0,0.17,0.17,0,0,0.67,0,0
"75","S25","STU","F",20,999.18,857.83,980.88,2298.27,1832.44,1007.38,423.2,443.43,626.28,1731.68,688.78,442.08,0,0,0,0.17,0.33,0,0,0,0,0.17,0,0
"76","S27","STU","M",19,676.49,812.76,818.86,1204.59,889.44,769.35,550.62,650.28,667.48,1164.18,853.8,638.02,0,0.17,0,0,0,0,0,0.17,0,0,0,0
"77","S28","STU","F",19,640.05,694.88,926.23,729.52,701.85,612.27,597.38,508.57,632.34,NA,608.87,536.88,0,0,0.17,0,0,0,0,0,0,1,0,0
"78","S29","STU","M",20,687.58,693.39,710.73,1259.46,1019.21,845.45,436.53,380.47,747.27,1064.16,681.39,527.21,0,0.33,0.17,0.17,0.33,0,0,0,0,0,0,0.17
"79","S30","STU","M",20,499.76,484.03,852.61,810.6,688.37,518.23,372.49,505.01,654.67,1397.28,757.15,643.4,0,0,0,0,0,0,0,0,0.17,0.67,0.17,0.17
"80","S31","STU","F",19,513.03,680.64,739.92,629.98,899.76,975.55,341.93,591.83,598.51,811.47,451.42,432.07,0.17,0.17,0,0,0,0.33,0,0,0,0.17,0,0.17
"81","S32","STU","F",19,480.4,704.99,514.68,1066.06,827.04,820.47,416.5,299.51,507.42,969.36,512.26,426.71,0,0,0,0.17,0,0,0,0,0.17,0.17,0.17,0
"82","S33","STU","F",19,1403.15,1508.91,3650.22,5527.89,1558.46,1325.77,579.39,721.15,1261.85,2832.22,1701.76,983.49,0.17,0.17,0.17,0.5,0.33,0,0,0.17,0,0,0,0
